Symbol,Side,Qty,Fill Price,Commission,Closing Time
NSE:TATACHEM,Buy,16,651,0,3/16/2026 4:56
NSE:ASIANPAINT,Buy,5,2185.4,0,3/16/2026 4:55
NSE:BERGEPAINT,Buy,26,396,0,3/16/2026 4:55
NSE:KANSAINER,Buy,57,178,0,3/16/2026 4:54
NSE:ADFFOODS,Buy,56,180,0,3/16/2026 4:52
NSE:JUBLFOOD,Buy,23,452,0,3/16/2026 4:52
NSE:IRFC,Buy,103,96.5,0,3/9/2026 7:54
NSE:ADANIGREEN,Buy,11,839,0,3/9/2026 7:42
NSE:ADANIENT,Buy,5,1983,0,3/9/2026 7:39
NSE:TRENT,Buy,4,2725.5,0,3/9/2026 7:36
NSE:TMPV,Buy,30,330,0,3/9/2026 7:35
NSE:IGL,Buy,64,154.05,0,3/9/2026 7:02
NSE:GAIL,Buy,68,147,0,3/9/2026 7:01
NSE:ATGL,Buy,21,468,0,3/9/2026 7:00
NSE:PVRINOX,Buy,10,999,0,3/9/2026 6:57
NSE:TATAELXSI,Buy,2,4505,0,3/9/2026 6:56
NSE:ACC,Buy,6,1562,0,3/9/2026 6:56
NSE:DIXON,Buy,1,10378,0,3/9/2026 6:55
NSE:BATAINDIA,Buy,14,732,0,3/9/2026 6:55
$CASH,Deposit,201000,,,3/9/2026 6:54
NSE:IRFC,Dividend,108.1499948,,,3/24/2026 0:00
NSE:ADANIENT,Dividend,6.49999975,,,6/30/2026 0:00
NSE:ATGL,Dividend,5.25,,,6/26/2026 0:00
NSE:TRENT,Dividend,16,,,6/26/2026 0:00
NSE:TATACHEM,Dividend,176,,,6/30/2026 0:00
NSE:ACC,Dividend,45,,,7/1/2026 0:00
NSE:TATAELXSI,Dividend,150,,,6/30/2026 0:00
,,,,,
NSE:GOLDBEES,Buy,85,118.65,0,7/7/2026 9:59
NSE:GODREJPROP,Buy,6,1705,0,4/13/2026 5:30
NSE:GUJENERGY,Buy,26,390,0,3/13/2026 3:45
$CASH,Deposit,200000,,,2/27/2026 0:00
